Symbol,Trades,Accuracy,Annual_Return,Avg_Holding_Days,Category
20MICRONS,5,60.0,0.22588836705400328,191.8,Follows SuperTrend
3IINFOLTD,7,14.285714285714285,,167.57142857142858,Moderate
AAATECH,20,45.0,0.4194856409571863,51.9,Moderate
AARTIDRUGS,6,16.666666666666664,-0.04721838241138809,179.83333333333334,Does NOT Follow
AARTISURF,5,0.0,,283.0,Moderate
ABAN,5,20.0,-0.5741125895226754,126.6,Does NOT Follow
ABBOTINDIA,5,60.0,0.022380628514983236,257.0,Moderate
ABCOTS,24,37.5,0.6626463421137669,39.5,Moderate
ABFRL,8,25.0,-0.03328144997121851,66.625,Does NOT Follow
ABINFRA,26,42.30769230769231,0.9308603687887809,28.5,Moderate
ABREL,5,40.0,0.4297558100008878,117.8,Moderate
ABSLAMC,5,60.0,0.10217436585054385,139.6,Moderate
ACC,8,25.0,-0.38488722686112387,63.625,Does NOT Follow
ACCELYA,5,60.0,0.1292087261054624,139.2,Moderate
ACCURACY,5,40.0,,150.4,Moderate
ACE,6,16.666666666666664,0.5554733459432248,161.5,Moderate
ACL,11,45.45454545454545,0.33188510720479325,94.9090909090909,Follows SuperTrend
ADANIENSOL,5,20.0,-0.6629569903139612,93.8,Does NOT Follow
ADANIENT,7,42.857142857142854,0.42831003596942296,63.0,Moderate
ADANIGREEN,7,14.285714285714285,-0.21169645340783738,120.57142857142857,Does NOT Follow
ADANIPORTS,7,42.857142857142854,0.15134165153514,115.71428571428571,Moderate
ADANIPOWER,5,80.0,0.707414147616563,129.8,Follows SuperTrend
ADSL,5,20.0,-0.11321450547878342,161.4,Does NOT Follow
AFSL,5,60.0,0.08427264128922518,99.0,Moderate
AGARIND,5,60.0,0.19204106665992682,156.2,Follows SuperTrend
AGSTRA,5,60.0,0.00014102507205659975,165.4,Moderate
ALEMBICLTD,7,57.14285714285714,-0.1413861356204562,140.85714285714286,Does NOT Follow
ALKEM,5,60.0,0.11403075673281293,228.8,Moderate
ALLCARGO,6,0.0,,117.0,Moderate
ALOKINDS,6,16.666666666666664,-0.34465237814668825,183.5,Does NOT Follow
ALPA,6,33.33333333333333,-0.14782941356608092,231.83333333333334,Does NOT Follow
AMBUJACEM,6,50.0,0.22146610775445996,74.83333333333333,Follows SuperTrend
ANANTRAJ,5,80.0,0.35975357589517043,143.6,Follows SuperTrend
ANGELONE,7,57.14285714285714,0.7159771545645333,131.57142857142858,Follows SuperTrend
ANKITMETAL,6,66.66666666666666,0.43198891560415165,152.5,Follows SuperTrend
ANMOL,6,33.33333333333333,0.03600797740206829,152.33333333333334,Moderate
ANSALAPI,6,66.66666666666666,0.9856464915714294,48.0,Follows SuperTrend
ANUP,6,66.66666666666666,0.5299832206462294,152.83333333333334,Follows SuperTrend
ANURAS,5,40.0,0.17060965880839296,133.4,Moderate
APCL,5,40.0,-0.03283401562928934,153.6,Does NOT Follow
APEX,6,33.33333333333333,-0.018696620939977038,209.0,Does NOT Follow
APOLLOTYRE,6,66.66666666666666,0.1629745785917429,92.33333333333333,Follows SuperTrend
APTECHT,5,20.0,-0.34344011423499954,189.4,Does NOT Follow
ARIES,5,40.0,-0.2521666547603785,110.4,Does NOT Follow
ARSHIYA,5,40.0,0.3038143459973788,89.6,Moderate
ARVIND,5,80.0,0.24174151898167962,218.4,Follows SuperTrend
ASHOKA,6,66.66666666666666,0.01587273733146044,125.66666666666667,Moderate
ASHOKLEY,5,40.0,-0.09531887772956216,187.4,Does NOT Follow
ASIANPAINT,5,80.0,0.1481171963925907,81.8,Moderate
ASIANTILES,5,20.0,-0.2767179971491278,167.2,Does NOT Follow
ASTRAZEN,5,60.0,0.17156175964464682,262.0,Follows SuperTrend
ASTRON,5,20.0,,286.4,Moderate
ATALREAL,7,28.57142857142857,1.953490532836771,63.285714285714285,Moderate
ATGL,9,33.33333333333333,0.13858593626032167,126.22222222222223,Moderate
ATLASCYCLE,5,100.0,1.0232022279459971,59.0,Follows SuperTrend
ATUL,5,40.0,0.0918434161748991,153.6,Moderate
AVG,21,42.857142857142854,0.39293983242250574,61.38095238095238,Moderate
AVROIND,7,57.14285714285714,0.9016193721090808,139.0,Follows SuperTrend
AXISBANK,5,60.0,0.0272998909367157,179.4,Moderate
AXITA,6,33.33333333333333,-0.04996728894914304,43.833333333333336,Does NOT Follow
BAFNAPH,5,60.0,0.14017345579699425,296.0,Moderate
BAJAJFINSV,6,66.66666666666666,0.1974856013554096,192.16666666666666,Follows SuperTrend
BAJAJHIND,6,50.0,0.08111065386121363,160.33333333333334,Moderate
BAJFINANCE,7,57.14285714285714,0.17637431957439387,153.14285714285714,Follows SuperTrend
BALAMINES,6,16.666666666666664,-0.4216513493487857,181.16666666666666,Does NOT Follow
BALKRISIND,6,66.66666666666666,0.10417580201208243,126.5,Moderate
BALMLAWRIE,6,50.0,0.1422464699795849,136.16666666666666,Moderate
BALRAMCHIN,5,0.0,-0.37076497379825246,138.2,Does NOT Follow
BANARISUG,5,40.0,-0.042150968633773434,143.4,Does NOT Follow
BANCOINDIA,11,45.45454545454545,0.1843759843107251,108.18181818181819,Follows SuperTrend
BANDHANBNK,5,0.0,-0.4476098535073707,132.4,Does NOT Follow
BANKBARODA,5,40.0,0.4015300392707848,161.6,Moderate
BANKINDIA,6,66.66666666666666,0.35603580824173253,115.5,Follows SuperTrend
BATAINDIA,5,0.0,-0.24351045419832962,235.8,Does NOT Follow
BAYERCROP,5,40.0,-0.14432712125561686,105.2,Does NOT Follow
BBL,6,16.666666666666664,-0.0003621520310980175,107.66666666666667,Does NOT Follow
BBTC,6,50.0,0.005952246350310997,245.83333333333334,Moderate
BBTCL,13,38.46153846153847,0.17602624555883173,95.3076923076923,Moderate
BCG,6,33.33333333333333,-0.6086915588724611,119.0,Does NOT Follow
BCLIND,5,20.0,-0.040605233214862535,187.2,Does NOT Follow
BCONCEPTS,6,83.33333333333334,0.9722919450635752,215.83333333333334,Follows SuperTrend
BDL,7,57.14285714285714,0.10526896322576196,144.28571428571428,Moderate
BECTORFOOD,5,40.0,0.5233393393878061,173.6,Moderate
BEL,6,50.0,0.43545262246094296,104.33333333333333,Follows SuperTrend
BEML,8,50.0,0.24369877297331777,101.75,Follows SuperTrend
BEPL,6,33.33333333333333,-0.12197050023584899,118.0,Does NOT Follow
BGRENERGY,5,80.0,0.729737453593778,204.8,Follows SuperTrend
BHARATRAS,6,33.33333333333333,-0.4515752265745394,229.83333333333334,Does NOT Follow
BHEL,8,75.0,0.505005592058881,94.75,Follows SuperTrend
BIOCON,8,0.0,-0.46721029659666424,110.375,Does NOT Follow
BLISSGVS,6,16.666666666666664,-0.14269734193598405,244.0,Does NOT Follow
BLS,5,20.0,-0.015068562018354936,176.4,Does NOT Follow
BLUECHIP,13,30.76923076923077,2.0899630214249956,69.15384615384616,Moderate
BLUECOAST,17,58.82352941176471,1.3828777805229349,40.705882352941174,Follows SuperTrend
BOMDYEING,7,42.857142857142854,0.10667137493037537,124.85714285714286,Moderate
BORORENEW,5,40.0,0.12608310073989992,310.0,Moderate
BOSCHLTD,6,66.66666666666666,0.2331073996826991,211.5,Follows SuperTrend
BTML,21,28.57142857142857,0.28898469553316297,64.52380952380952,Moderate
BUTTERFLY,5,20.0,-0.2837850984418787,164.6,Does NOT Follow
CAMLINFINE,5,60.0,0.05441558925478329,200.8,Moderate
CAMS,5,20.0,-0.00201560498622555,246.4,Does NOT Follow
CANBK,7,57.14285714285714,0.3822619765961286,88.71428571428571,Follows SuperTrend
CANFINHOME,5,60.0,0.10365962462871958,202.0,Moderate
